Total Timesteps: 1770	 Episode Num: 7	 Reward: -610
Total Timesteps: 1780	 Episode Num: 7	 Reward: -660
Total Timesteps: 1790	 Episode Num: 7	 Reward: -710
Total Timesteps: 1800	 Episode Num: 7	 Reward: -760
Total Timesteps: 1810	 Episode Num: 7	 Reward: -810
Total Timesteps: 1820	 Episode Num: 7	 Reward: -860
Total Timesteps: 1830	 Episode Num: 7	 Reward: -910
Total Timesteps: 1840	 Episode Num: 7	 Reward: -960
Total Timesteps: 1850	 Episode Num: 7	 Reward: -1010
Total Timesteps: 1860	 Episode Num: 7	 Reward: -1060
Total Timesteps: 1870	 Episode Num: 7	 Reward: -1110
Total Timesteps: 1880	 Episode Num: 7	 Reward: -1160
Total Timesteps: 1890	 Episode Num: 7	 Reward: -1210
Total Timesteps: 1900	 Episode Num: 7	 Reward: -1260
Total Timesteps: 1910	 Episode Num: 7	 Reward: -1310
Total Timesteps: 1920	 Episode Num: 7	 Reward: -1360
Total Timesteps: 1930	 Episode Num: 7	 Reward: -1410
Total Timesteps: 1940	 Episode Num: 7	 Reward: -1460
Total Timesteps: 1950	 Episode Num: 7	 Reward: -1510
Total Timesteps: 1960	 Episode Num: 7	 Reward: -1560
Total Timesteps: 1970	 Episode Num: 7	 Reward: -1610
Total Timesteps: 1980	 Episode Num: 7	 Reward: -1660
Total Timesteps: 1990	 Episode Num: 7	 Reward: -1710
Total Timesteps: 2000	 Episode Num: 7	 Reward: -1760
Total Timesteps: 2010	 Episode Num: 7	 Reward: -1810
Total Timesteps: 2020	 Episode Num: 7	 Reward: -1860
Total Timesteps: 2030	 Episode Num: 7	 Reward: -1910
Total Timesteps: 2040	 Episode Num: 7	 Reward: -1960
Total Timesteps: 2050	 Episode Num: 7	 Reward: -2010
Total Timesteps: 2060	 Episode Num: 7	 Reward: -2060
Total Timesteps: 2070	 Episode Num: 7	 Reward: -2110
Total Timesteps: 2080	 Episode Num: 7	 Reward: -2160
Total Timesteps: 2090	 Episode Num: 7	 Reward: -2210
